2020-01-03 15:21:41 T: 24.54 degC, P: 1018.17 hPa, H: 42.77 %rH, G: 143900 Ohms
2020-01-03 15:23:16 T: 24.01 degC, P: 1018.17 hPa, H: 44.51 %rH, G: 184963 Ohms
2020-01-03 15:23:21 T: 23.99 degC, P: 1018.13 hPa, H: 44.56 %rH, G: 186526 Ohms
2020-01-03 15:23:26 T: 23.97 degC, P: 1018.15 hPa, H: 44.59 %rH, G: 186526 Ohms
2020-01-03 15:23:31 T: 23.95 degC, P: 1018.15 hPa, H: 44.65 %rH, G: 186323 Ohms
2020-01-03 15:23:36 T: 23.92 degC, P: 1018.15 hPa, H: 44.67 %rH, G: 186526 Ohms
2020-01-03 15:23:41 T: 23.90 degC, P: 1018.15 hPa, H: 44.72 %rH, G: 185588 Ohms
2020-01-03 15:23:46 T: 23.88 degC, P: 1018.15 hPa, H: 44.74 %rH, G: 185693 Ohms
2020-01-03 15:23:51 T: 23.86 degC, P: 1018.11 hPa, H: 44.77 %rH, G: 186323 Ohms
2020-01-03 15:23:56 T: 23.84 degC, P: 1018.11 hPa, H: 44.83 %rH, G: 185693 Ohms
2020-01-03 15:24:01 T: 23.83 degC, P: 1018.13 hPa, H: 44.86 %rH, G: 186218 Ohms
2020-01-03 15:24:06 T: 23.81 degC, P: 1018.13 hPa, H: 44.92 %rH, G: 187151 Ohms
2020-01-03 15:24:11 T: 23.79 degC, P: 1018.13 hPa, H: 44.98 %rH, G: 185902 Ohms
2020-01-03 15:24:16 T: 23.78 degC, P: 1018.13 hPa, H: 45.01 %rH, G: 186534 Ohms
2020-01-03 15:24:21 T: 23.76 degC, P: 1018.15 hPa, H: 45.02 %rH, G: 186428 Ohms
2020-01-03 15:24:26 T: 23.75 degC, P: 1018.15 hPa, H: 45.06 %rH, G: 186323 Ohms
2020-01-03 15:24:31 T: 23.73 degC, P: 1018.13 hPa, H: 45.09 %rH, G: 186534 Ohms
2020-01-03 15:24:36 T: 23.72 degC, P: 1018.13 hPa, H: 45.08 %rH, G: 187383 Ohms
2020-01-03 15:24:41 T: 23.71 degC, P: 1018.13 hPa, H: 45.11 %rH, G: 185797 Ohms
2020-01-03 15:24:46 T: 23.70 degC, P: 1018.13 hPa, H: 45.14 %rH, G: 186534 Ohms
2020-01-03 15:24:51 T: 23.68 degC, P: 1018.13 hPa, H: 45.18 %rH, G: 186428 Ohms
2020-01-03 15:24:56 T: 23.67 degC, P: 1018.11 hPa, H: 45.24 %rH, G: 186852 Ohms
2020-01-03 15:25:01 T: 23.66 degC, P: 1018.11 hPa, H: 45.28 %rH, G: 186112 Ohms
2020-01-03 15:25:06 T: 23.66 degC, P: 1018.11 hPa, H: 45.29 %rH, G: 185902 Ohms
2020-01-03 15:25:11 T: 23.64 degC, P: 1018.13 hPa, H: 45.31 %rH, G: 186007 Ohms
2020-01-03 15:25:16 T: 23.64 degC, P: 1018.13 hPa, H: 45.36 %rH, G: 186218 Ohms
2020-01-03 15:25:21 T: 23.63 degC, P: 1018.15 hPa, H: 45.38 %rH, G: 186428 Ohms
2020-01-03 15:25:26 T: 23.62 degC, P: 1018.17 hPa, H: 45.40 %rH, G: 186640 Ohms
2020-01-03 15:25:31 T: 23.61 degC, P: 1018.15 hPa, H: 45.44 %rH, G: 186428 Ohms
2020-01-03 15:25:36 T: 23.60 degC, P: 1018.17 hPa, H: 45.47 %rH, G: 186428 Ohms
2020-01-03 15:25:41 T: 23.60 degC, P: 1018.13 hPa, H: 45.44 %rH, G: 186112 Ohms
2020-01-03 15:25:46 T: 23.59 degC, P: 1018.13 hPa, H: 45.44 %rH, G: 186112 Ohms
2020-01-03 15:25:51 T: 23.59 degC, P: 1018.13 hPa, H: 45.40 %rH, G: 186218 Ohms
2020-01-03 15:25:56 T: 23.58 degC, P: 1018.13 hPa, H: 45.41 %rH, G: 186746 Ohms
2020-01-03 15:26:01 T: 23.58 degC, P: 1018.13 hPa, H: 45.44 %rH, G: 187170 Ohms
2020-01-03 15:26:06 T: 23.57 degC, P: 1018.15 hPa, H: 45.44 %rH, G: 185379 Ohms
2020-01-03 15:26:11 T: 23.57 degC, P: 1018.17 hPa, H: 45.43 %rH, G: 186534 Ohms
2020-01-03 15:26:16 T: 23.56 degC, P: 1018.15 hPa, H: 45.46 %rH, G: 186007 Ohms
2020-01-03 15:26:21 T: 23.56 degC, P: 1018.15 hPa, H: 45.49 %rH, G: 185693 Ohms
2020-01-03 15:26:26 T: 23.55 degC, P: 1018.17 hPa, H: 45.50 %rH, G: 185484 Ohms
2020-01-03 15:26:31 T: 23.55 degC, P: 1018.19 hPa, H: 45.52 %rH, G: 186734 Ohms
2020-01-03 15:26:36 T: 23.54 degC, P: 1018.21 hPa, H: 45.54 %rH, G: 185693 Ohms
2020-01-03 15:26:41 T: 23.54 degC, P: 1018.19 hPa, H: 45.58 %rH, G: 185588 Ohms
2020-01-03 15:26:46 T: 23.53 degC, P: 1018.19 hPa, H: 45.63 %rH, G: 185797 Ohms
2020-01-03 15:26:51 T: 23.53 degC, P: 1018.21 hPa, H: 45.66 %rH, G: 186218 Ohms
2020-01-03 15:26:56 T: 23.52 degC, P: 1018.19 hPa, H: 45.69 %rH, G: 185588 Ohms
2020-01-03 15:27:01 T: 23.52 degC, P: 1018.21 hPa, H: 45.66 %rH, G: 185588 Ohms
2020-01-03 15:27:06 T: 23.51 degC, P: 1018.21 hPa, H: 45.67 %rH, G: 186323 Ohms
2020-01-03 15:27:11 T: 23.51 degC, P: 1018.23 hPa, H: 45.68 %rH, G: 185171 Ohms
2020-01-03 15:27:16 T: 23.50 degC, P: 1018.21 hPa, H: 45.71 %rH, G: 185171 Ohms
2020-01-03 15:27:21 T: 23.50 degC, P: 1018.21 hPa, H: 45.72 %rH, G: 184963 Ohms
2020-01-03 15:27:26 T: 23.50 degC, P: 1018.21 hPa, H: 45.71 %rH, G: 185379 Ohms
2020-01-03 15:27:31 T: 23.50 degC, P: 1018.21 hPa, H: 45.71 %rH, G: 185797 Ohms
2020-01-03 15:27:36 T: 23.49 degC, P: 1018.23 hPa, H: 45.69 %rH, G: 185379 Ohms
2020-01-03 15:27:41 T: 23.49 degC, P: 1018.25 hPa, H: 45.70 %rH, G: 185797 Ohms
2020-01-03 15:27:46 T: 23.49 degC, P: 1018.25 hPa, H: 45.70 %rH, G: 186111 Ohms
