2020-01-06 13:48:59 T: 23.95 degC, P: 1022.32 hPa, H: 38.03 %rH, G: 25435 Ohms
2020-01-06 13:51:14 T: 24.02 degC, P: 1022.34 hPa, H: 38.01 %rH, G: 137521 Ohms
2020-01-06 13:51:19 T: 24.02 degC, P: 1022.34 hPa, H: 37.97 %rH, G: 138315 Ohms
2020-01-06 13:51:24 T: 24.02 degC, P: 1022.32 hPa, H: 38.00 %rH, G: 138659 Ohms
2020-01-06 13:51:29 T: 24.03 degC, P: 1022.32 hPa, H: 38.08 %rH, G: 138889 Ohms
2020-01-06 13:51:34 T: 24.03 degC, P: 1022.34 hPa, H: 38.04 %rH, G: 139816 Ohms
2020-01-06 13:51:39 T: 24.04 degC, P: 1022.32 hPa, H: 38.11 %rH, G: 140638 Ohms
2020-01-06 13:51:44 T: 24.04 degC, P: 1022.30 hPa, H: 38.05 %rH, G: 140050 Ohms
2020-01-06 13:51:49 T: 24.04 degC, P: 1022.30 hPa, H: 38.00 %rH, G: 140756 Ohms
2020-01-06 13:51:54 T: 24.05 degC, P: 1022.30 hPa, H: 37.97 %rH, G: 142190 Ohms
2020-01-06 13:51:59 T: 24.05 degC, P: 1022.30 hPa, H: 37.92 %rH, G: 142675 Ohms
2020-01-06 13:52:04 T: 24.05 degC, P: 1022.30 hPa, H: 37.83 %rH, G: 143654 Ohms
2020-01-06 13:52:09 T: 24.05 degC, P: 1022.30 hPa, H: 37.79 %rH, G: 142553 Ohms
2020-01-06 13:52:14 T: 24.05 degC, P: 1022.28 hPa, H: 37.80 %rH, G: 143900 Ohms
2020-01-06 13:52:19 T: 24.05 degC, P: 1022.28 hPa, H: 37.74 %rH, G: 144521 Ohms
2020-01-06 13:52:24 T: 24.05 degC, P: 1022.26 hPa, H: 37.63 %rH, G: 144646 Ohms
2020-01-06 13:52:29 T: 24.05 degC, P: 1022.26 hPa, H: 37.56 %rH, G: 145652 Ohms
2020-01-06 13:52:34 T: 24.05 degC, P: 1022.24 hPa, H: 37.59 %rH, G: 146288 Ohms
2020-01-06 13:52:39 T: 24.05 degC, P: 1022.24 hPa, H: 37.62 %rH, G: 145147 Ohms
2020-01-06 13:52:44 T: 24.05 degC, P: 1022.24 hPa, H: 37.62 %rH, G: 146416 Ohms
2020-01-06 13:52:49 T: 24.05 degC, P: 1022.22 hPa, H: 37.62 %rH, G: 146161 Ohms
2020-01-06 13:52:54 T: 24.04 degC, P: 1022.24 hPa, H: 37.57 %rH, G: 146288 Ohms
2020-01-06 13:52:59 T: 24.04 degC, P: 1022.24 hPa, H: 37.70 %rH, G: 144896 Ohms
2020-01-06 13:53:04 T: 24.04 degC, P: 1022.24 hPa, H: 38.23 %rH, G: 143777 Ohms
2020-01-06 13:53:09 T: 24.04 degC, P: 1022.24 hPa, H: 38.58 %rH, G: 144148 Ohms
2020-01-06 13:53:14 T: 24.04 degC, P: 1022.24 hPa, H: 38.68 %rH, G: 143900 Ohms
2020-01-06 13:53:19 T: 24.05 degC, P: 1022.24 hPa, H: 38.61 %rH, G: 144272 Ohms
2020-01-06 13:53:24 T: 24.05 degC, P: 1022.26 hPa, H: 38.64 %rH, G: 144272 Ohms
2020-01-06 13:53:29 T: 24.05 degC, P: 1022.26 hPa, H: 38.61 %rH, G: 145526 Ohms
2020-01-06 13:53:34 T: 24.05 degC, P: 1022.24 hPa, H: 38.45 %rH, G: 146930 Ohms
2020-01-06 13:53:39 T: 24.05 degC, P: 1022.24 hPa, H: 38.29 %rH, G: 146288 Ohms
2020-01-06 13:53:44 T: 24.05 degC, P: 1022.24 hPa, H: 38.16 %rH, G: 146801 Ohms
2020-01-06 13:53:49 T: 24.05 degC, P: 1022.22 hPa, H: 38.08 %rH, G: 146801 Ohms
2020-01-06 13:53:54 T: 24.05 degC, P: 1022.22 hPa, H: 37.99 %rH, G: 148361 Ohms
2020-01-06 13:53:59 T: 24.05 degC, P: 1022.22 hPa, H: 37.92 %rH, G: 148099 Ohms
2020-01-06 13:54:04 T: 24.05 degC, P: 1022.22 hPa, H: 37.91 %rH, G: 148493 Ohms
2020-01-06 13:54:09 T: 24.05 degC, P: 1022.22 hPa, H: 37.91 %rH, G: 149021 Ohms
2020-01-06 13:54:14 T: 24.05 degC, P: 1022.24 hPa, H: 37.91 %rH, G: 149287 Ohms
2020-01-06 13:54:19 T: 24.05 degC, P: 1022.24 hPa, H: 37.83 %rH, G: 150090 Ohms
2020-01-06 13:54:24 T: 24.05 degC, P: 1022.24 hPa, H: 37.81 %rH, G: 149687 Ohms
2020-01-06 13:54:29 T: 24.05 degC, P: 1022.24 hPa, H: 37.80 %rH, G: 150224 Ohms
2020-01-06 13:54:34 T: 24.05 degC, P: 1022.24 hPa, H: 37.79 %rH, G: 150090 Ohms
2020-01-06 13:54:39 T: 24.05 degC, P: 1022.24 hPa, H: 37.77 %rH, G: 150224 Ohms
2020-01-06 13:54:44 T: 24.05 degC, P: 1022.24 hPa, H: 37.74 %rH, G: 151173 Ohms
2020-01-06 13:54:49 T: 24.05 degC, P: 1022.24 hPa, H: 37.71 %rH, G: 149687 Ohms
2020-01-06 13:54:54 T: 24.05 degC, P: 1022.22 hPa, H: 37.73 %rH, G: 150765 Ohms
2020-01-06 13:54:59 T: 24.05 degC, P: 1022.22 hPa, H: 37.74 %rH, G: 149687 Ohms
2020-01-06 13:55:04 T: 24.05 degC, P: 1022.22 hPa, H: 37.73 %rH, G: 151859 Ohms
2020-01-06 13:55:09 T: 24.05 degC, P: 1022.22 hPa, H: 37.71 %rH, G: 151996 Ohms
2020-01-06 13:55:14 T: 24.05 degC, P: 1022.20 hPa, H: 37.71 %rH, G: 150359 Ohms
2020-01-06 13:55:19 T: 24.05 degC, P: 1022.20 hPa, H: 37.71 %rH, G: 151996 Ohms
2020-01-06 13:55:24 T: 24.05 degC, P: 1022.20 hPa, H: 37.72 %rH, G: 150765 Ohms
2020-01-06 13:55:29 T: 24.05 degC, P: 1022.18 hPa, H: 37.74 %rH, G: 150494 Ohms
2020-01-06 13:55:34 T: 24.05 degC, P: 1022.18 hPa, H: 37.73 %rH, G: 150359 Ohms
2020-01-06 13:55:39 T: 24.05 degC, P: 1022.16 hPa, H: 37.74 %rH, G: 151447 Ohms
2020-01-06 13:55:44 T: 24.05 degC, P: 1022.16 hPa, H: 37.63 %rH, G: 151173 Ohms
2020-01-06 13:55:49 T: 24.05 degC, P: 1022.18 hPa, H: 37.55 %rH, G: 151037 Ohms
2020-01-06 13:55:54 T: 24.05 degC, P: 1022.16 hPa, H: 37.60 %rH, G: 150901 Ohms
2020-01-06 13:55:59 T: 24.05 degC, P: 1022.16 hPa, H: 37.67 %rH, G: 151310 Ohms
2020-01-06 13:56:04 T: 24.05 degC, P: 1022.16 hPa, H: 37.69 %rH, G: 150901 Ohms
2020-01-06 13:56:09 T: 24.05 degC, P: 1022.14 hPa, H: 37.71 %rH, G: 150629 Ohms
2020-01-06 13:56:14 T: 24.05 degC, P: 1022.14 hPa, H: 37.67 %rH, G: 151859 Ohms
2020-01-06 13:56:19 T: 24.05 degC, P: 1022.14 hPa, H: 37.64 %rH, G: 152134 Ohms
2020-01-06 13:56:24 T: 24.05 degC, P: 1022.12 hPa, H: 37.68 %rH, G: 151996 Ohms
2020-01-06 13:56:29 T: 24.06 degC, P: 1022.12 hPa, H: 37.72 %rH, G: 150629 Ohms
2020-01-06 13:56:34 T: 24.06 degC, P: 1022.12 hPa, H: 37.70 %rH, G: 150359 Ohms
2020-01-06 13:56:39 T: 24.06 degC, P: 1022.12 hPa, H: 37.66 %rH, G: 151037 Ohms
2020-01-06 13:56:44 T: 24.06 degC, P: 1022.12 hPa, H: 37.67 %rH, G: 152134 Ohms
2020-01-06 13:56:49 T: 24.06 degC, P: 1022.10 hPa, H: 37.67 %rH, G: 151310 Ohms
2020-01-06 13:56:54 T: 24.06 degC, P: 1022.10 hPa, H: 37.64 %rH, G: 151173 Ohms
2020-01-06 13:56:59 T: 24.06 degC, P: 1022.12 hPa, H: 37.59 %rH, G: 152134 Ohms
2020-01-06 13:57:04 T: 24.06 degC, P: 1022.10 hPa, H: 37.60 %rH, G: 151310 Ohms
2020-01-06 13:57:09 T: 24.06 degC, P: 1022.10 hPa, H: 37.59 %rH, G: 150901 Ohms
2020-01-06 13:57:14 T: 24.06 degC, P: 1022.10 hPa, H: 37.59 %rH, G: 151584 Ohms
2020-01-06 13:57:19 T: 24.06 degC, P: 1022.10 hPa, H: 37.59 %rH, G: 152828 Ohms
2020-01-06 13:57:24 T: 24.06 degC, P: 1022.08 hPa, H: 37.59 %rH, G: 151859 Ohms
2020-01-06 13:57:29 T: 24.06 degC, P: 1022.10 hPa, H: 37.56 %rH, G: 151037 Ohms
2020-01-06 13:57:34 T: 24.06 degC, P: 1022.08 hPa, H: 37.57 %rH, G: 150901 Ohms
2020-01-06 13:57:39 T: 24.06 degC, P: 1022.08 hPa, H: 37.54 %rH, G: 152134 Ohms
2020-01-06 13:57:44 T: 24.06 degC, P: 1022.08 hPa, H: 37.53 %rH, G: 151721 Ohms
2020-01-06 13:57:49 T: 24.06 degC, P: 1022.08 hPa, H: 37.55 %rH, G: 152411 Ohms
2020-01-06 13:57:54 T: 24.06 degC, P: 1022.08 hPa, H: 37.60 %rH, G: 151037 Ohms
2020-01-06 13:57:59 T: 24.06 degC, P: 1022.08 hPa, H: 37.63 %rH, G: 151310 Ohms
2020-01-06 13:58:04 T: 24.06 degC, P: 1022.08 hPa, H: 37.63 %rH, G: 151584 Ohms
2020-01-06 13:58:09 T: 24.06 degC, P: 1022.08 hPa, H: 37.65 %rH, G: 151037 Ohms
2020-01-06 13:58:14 T: 24.06 degC, P: 1022.08 hPa, H: 37.69 %rH, G: 151310 Ohms
2020-01-06 13:58:19 T: 24.06 degC, P: 1022.08 hPa, H: 37.71 %rH, G: 150494 Ohms
2020-01-06 13:58:24 T: 24.06 degC, P: 1022.08 hPa, H: 37.68 %rH, G: 151996 Ohms
2020-01-06 13:58:29 T: 24.06 degC, P: 1022.08 hPa, H: 37.64 %rH, G: 152134 Ohms
2020-01-06 13:58:34 T: 24.06 degC, P: 1022.08 hPa, H: 37.64 %rH, G: 151859 Ohms
2020-01-06 13:58:40 T: 24.06 degC, P: 1022.08 hPa, H: 37.67 %rH, G: 152411 Ohms
2020-01-06 13:58:45 T: 24.06 degC, P: 1022.08 hPa, H: 37.65 %rH, G: 152273 Ohms
2020-01-06 13:58:50 T: 24.06 degC, P: 1022.08 hPa, H: 37.65 %rH, G: 152273 Ohms
2020-01-06 13:58:55 T: 24.06 degC, P: 1022.08 hPa, H: 37.67 %rH, G: 151859 Ohms
2020-01-06 13:59:00 T: 24.06 degC, P: 1022.08 hPa, H: 37.67 %rH, G: 151310 Ohms
2020-01-06 13:59:05 T: 24.06 degC, P: 1022.08 hPa, H: 37.68 %rH, G: 151447 Ohms
2020-01-06 13:59:10 T: 24.06 degC, P: 1022.08 hPa, H: 37.68 %rH, G: 152134 Ohms
2020-01-06 13:59:15 T: 24.06 degC, P: 1022.06 hPa, H: 37.70 %rH, G: 150901 Ohms
2020-01-06 13:59:20 T: 24.06 degC, P: 1022.06 hPa, H: 37.71 %rH, G: 151721 Ohms
2020-01-06 13:59:25 T: 24.06 degC, P: 1022.06 hPa, H: 37.72 %rH, G: 152689 Ohms
2020-01-06 13:59:30 T: 24.06 degC, P: 1022.06 hPa, H: 37.77 %rH, G: 151447 Ohms
2020-01-06 13:59:35 T: 24.06 degC, P: 1022.06 hPa, H: 37.76 %rH, G: 150629 Ohms
2020-01-06 13:59:40 T: 24.06 degC, P: 1022.06 hPa, H: 37.79 %rH, G: 151037 Ohms
2020-01-06 13:59:45 T: 24.06 degC, P: 1022.06 hPa, H: 37.79 %rH, G: 151447 Ohms
2020-01-06 13:59:50 T: 24.07 degC, P: 1022.06 hPa, H: 37.78 %rH, G: 151584 Ohms
2020-01-06 13:59:55 T: 24.07 degC, P: 1022.08 hPa, H: 37.79 %rH, G: 151447 Ohms
2020-01-06 14:00:00 T: 24.07 degC, P: 1022.10 hPa, H: 37.78 %rH, G: 151310 Ohms
2020-01-06 14:00:05 T: 24.07 degC, P: 1022.10 hPa, H: 37.76 %rH, G: 151173 Ohms
2020-01-06 14:00:10 T: 24.07 degC, P: 1022.10 hPa, H: 37.77 %rH, G: 150629 Ohms
2020-01-06 14:00:15 T: 24.07 degC, P: 1022.10 hPa, H: 37.77 %rH, G: 151721 Ohms
2020-01-06 14:00:20 T: 24.07 degC, P: 1022.10 hPa, H: 37.75 %rH, G: 150494 Ohms
2020-01-06 14:00:25 T: 24.07 degC, P: 1022.10 hPa, H: 37.75 %rH, G: 150901 Ohms
2020-01-06 14:00:30 T: 24.07 degC, P: 1022.10 hPa, H: 37.74 %rH, G: 151996 Ohms
2020-01-06 14:00:35 T: 24.07 degC, P: 1022.10 hPa, H: 37.74 %rH, G: 150224 Ohms
2020-01-06 14:00:40 T: 24.08 degC, P: 1022.08 hPa, H: 37.76 %rH, G: 150090 Ohms
2020-01-06 14:00:45 T: 24.08 degC, P: 1022.08 hPa, H: 37.75 %rH, G: 150224 Ohms
2020-01-06 14:00:50 T: 24.08 degC, P: 1022.08 hPa, H: 37.72 %rH, G: 150224 Ohms
2020-01-06 14:00:55 T: 24.08 degC, P: 1022.06 hPa, H: 37.73 %rH, G: 149821 Ohms
2020-01-06 14:01:00 T: 24.08 degC, P: 1022.06 hPa, H: 37.73 %rH, G: 149955 Ohms
2020-01-06 14:01:05 T: 24.08 degC, P: 1022.06 hPa, H: 37.68 %rH, G: 151310 Ohms
2020-01-06 14:01:10 T: 24.08 degC, P: 1022.06 hPa, H: 37.65 %rH, G: 150224 Ohms
2020-01-06 14:01:15 T: 24.08 degC, P: 1022.06 hPa, H: 37.64 %rH, G: 151310 Ohms
2020-01-06 14:01:20 T: 24.09 degC, P: 1022.06 hPa, H: 37.65 %rH, G: 150359 Ohms
2020-01-06 14:01:25 T: 24.09 degC, P: 1022.06 hPa, H: 37.65 %rH, G: 150901 Ohms
2020-01-06 14:01:30 T: 24.09 degC, P: 1022.08 hPa, H: 37.64 %rH, G: 150901 Ohms
2020-01-06 14:01:35 T: 24.09 degC, P: 1022.08 hPa, H: 37.65 %rH, G: 150629 Ohms
2020-01-06 14:01:40 T: 24.09 degC, P: 1022.08 hPa, H: 37.61 %rH, G: 150901 Ohms
2020-01-06 14:01:45 T: 24.10 degC, P: 1022.08 hPa, H: 37.60 %rH, G: 150901 Ohms
2020-01-06 14:01:50 T: 24.10 degC, P: 1022.06 hPa, H: 37.59 %rH, G: 151173 Ohms
2020-01-06 14:01:55 T: 24.10 degC, P: 1022.06 hPa, H: 37.61 %rH, G: 151310 Ohms
2020-01-06 14:02:00 T: 24.10 degC, P: 1022.06 hPa, H: 37.63 %rH, G: 151173 Ohms
2020-01-06 14:02:05 T: 24.10 degC, P: 1022.06 hPa, H: 37.66 %rH, G: 150494 Ohms
2020-01-06 14:02:10 T: 24.10 degC, P: 1022.08 hPa, H: 37.67 %rH, G: 151173 Ohms
2020-01-06 14:02:15 T: 24.10 degC, P: 1022.06 hPa, H: 37.66 %rH, G: 151721 Ohms
2020-01-06 14:02:20 T: 24.10 degC, P: 1022.06 hPa, H: 37.63 %rH, G: 151721 Ohms
2020-01-06 14:02:25 T: 24.10 degC, P: 1022.08 hPa, H: 37.65 %rH, G: 151173 Ohms
2020-01-06 14:02:30 T: 24.10 degC, P: 1022.08 hPa, H: 37.63 %rH, G: 150765 Ohms
2020-01-06 14:02:35 T: 24.10 degC, P: 1022.08 hPa, H: 37.65 %rH, G: 151447 Ohms
2020-01-06 14:02:40 T: 24.11 degC, P: 1022.10 hPa, H: 37.64 %rH, G: 152134 Ohms
2020-01-06 14:02:45 T: 24.11 degC, P: 1022.10 hPa, H: 37.70 %rH, G: 151310 Ohms
2020-01-06 14:02:50 T: 24.11 degC, P: 1022.08 hPa, H: 37.72 %rH, G: 151037 Ohms
2020-01-06 14:02:55 T: 24.11 degC, P: 1022.08 hPa, H: 37.73 %rH, G: 151584 Ohms
2020-01-06 14:03:00 T: 24.12 degC, P: 1022.06 hPa, H: 37.77 %rH, G: 150359 Ohms
2020-01-06 14:03:05 T: 24.12 degC, P: 1022.06 hPa, H: 37.73 %rH, G: 150629 Ohms
2020-01-06 14:03:10 T: 24.12 degC, P: 1022.08 hPa, H: 37.69 %rH, G: 149955 Ohms
2020-01-06 14:03:15 T: 24.13 degC, P: 1022.10 hPa, H: 37.69 %rH, G: 150629 Ohms
2020-01-06 14:03:20 T: 24.13 degC, P: 1022.10 hPa, H: 37.66 %rH, G: 151447 Ohms
2020-01-06 14:03:25 T: 24.13 degC, P: 1022.08 hPa, H: 37.62 %rH, G: 151037 Ohms
2020-01-06 14:03:30 T: 24.13 degC, P: 1022.08 hPa, H: 37.60 %rH, G: 150359 Ohms
2020-01-06 14:03:35 T: 24.13 degC, P: 1022.08 hPa, H: 37.59 %rH, G: 151310 Ohms
2020-01-06 14:03:40 T: 24.13 degC, P: 1022.06 hPa, H: 37.61 %rH, G: 151037 Ohms
2020-01-06 14:03:45 T: 24.14 degC, P: 1022.06 hPa, H: 37.66 %rH, G: 151173 Ohms
2020-01-06 14:03:50 T: 24.14 degC, P: 1022.06 hPa, H: 37.64 %rH, G: 150901 Ohms
2020-01-06 14:03:55 T: 24.14 degC, P: 1022.06 hPa, H: 37.62 %rH, G: 150629 Ohms
2020-01-06 14:04:00 T: 24.14 degC, P: 1022.04 hPa, H: 37.63 %rH, G: 150765 Ohms
2020-01-06 14:04:05 T: 24.15 degC, P: 1022.10 hPa, H: 37.64 %rH, G: 150494 Ohms
2020-01-06 14:04:10 T: 24.15 degC, P: 1022.08 hPa, H: 37.65 %rH, G: 150629 Ohms
2020-01-06 14:04:15 T: 24.15 degC, P: 1022.08 hPa, H: 37.65 %rH, G: 151037 Ohms
2020-01-06 14:04:20 T: 24.16 degC, P: 1022.08 hPa, H: 37.64 %rH, G: 150224 Ohms
2020-01-06 14:04:25 T: 24.16 degC, P: 1022.06 hPa, H: 37.62 %rH, G: 150629 Ohms
2020-01-06 14:04:30 T: 24.16 degC, P: 1022.06 hPa, H: 37.59 %rH, G: 150224 Ohms
2020-01-06 14:04:35 T: 24.16 degC, P: 1022.06 hPa, H: 37.59 %rH, G: 150494 Ohms
2020-01-06 14:04:40 T: 24.17 degC, P: 1022.08 hPa, H: 37.54 %rH, G: 151721 Ohms
2020-01-06 14:04:45 T: 24.17 degC, P: 1022.06 hPa, H: 37.55 %rH, G: 151721 Ohms
2020-01-06 14:04:50 T: 24.17 degC, P: 1022.08 hPa, H: 37.55 %rH, G: 151037 Ohms
2020-01-06 14:04:55 T: 24.17 degC, P: 1022.08 hPa, H: 37.55 %rH, G: 151037 Ohms
2020-01-06 14:05:00 T: 24.18 degC, P: 1022.06 hPa, H: 37.56 %rH, G: 151173 Ohms
2020-01-06 14:05:05 T: 24.18 degC, P: 1022.06 hPa, H: 37.63 %rH, G: 150629 Ohms
2020-01-06 14:05:10 T: 24.18 degC, P: 1022.06 hPa, H: 37.63 %rH, G: 150359 Ohms
2020-01-06 14:05:15 T: 24.18 degC, P: 1022.10 hPa, H: 37.61 %rH, G: 150359 Ohms
2020-01-06 14:05:20 T: 24.19 degC, P: 1022.08 hPa, H: 37.57 %rH, G: 151173 Ohms
2020-01-06 14:05:25 T: 24.19 degC, P: 1022.08 hPa, H: 37.54 %rH, G: 150901 Ohms
2020-01-06 14:05:30 T: 24.19 degC, P: 1022.08 hPa, H: 37.53 %rH, G: 151584 Ohms
2020-01-06 14:05:35 T: 24.19 degC, P: 1022.08 hPa, H: 37.55 %rH, G: 149287 Ohms
2020-01-06 14:05:40 T: 24.20 degC, P: 1022.06 hPa, H: 37.55 %rH, G: 150359 Ohms
2020-01-06 14:05:45 T: 24.20 degC, P: 1022.06 hPa, H: 37.56 %rH, G: 150494 Ohms
2020-01-06 14:05:50 T: 24.20 degC, P: 1022.06 hPa, H: 37.59 %rH, G: 150494 Ohms
2020-01-06 14:05:55 T: 24.20 degC, P: 1022.08 hPa, H: 37.56 %rH, G: 150359 Ohms
2020-01-06 14:06:00 T: 24.21 degC, P: 1022.08 hPa, H: 37.55 %rH, G: 150224 Ohms
2020-01-06 14:06:05 T: 24.21 degC, P: 1022.06 hPa, H: 37.54 %rH, G: 150765 Ohms
2020-01-06 14:06:10 T: 24.21 degC, P: 1022.06 hPa, H: 37.54 %rH, G: 150090 Ohms
2020-01-06 14:06:15 T: 24.21 degC, P: 1022.04 hPa, H: 37.59 %rH, G: 149955 Ohms
2020-01-06 14:06:20 T: 24.21 degC, P: 1022.04 hPa, H: 37.58 %rH, G: 150901 Ohms
2020-01-06 14:06:25 T: 24.21 degC, P: 1022.04 hPa, H: 37.55 %rH, G: 150224 Ohms
2020-01-06 14:06:30 T: 24.21 degC, P: 1022.04 hPa, H: 37.56 %rH, G: 150629 Ohms
2020-01-06 14:06:35 T: 24.21 degC, P: 1022.04 hPa, H: 37.55 %rH, G: 150494 Ohms
2020-01-06 14:06:40 T: 24.21 degC, P: 1022.02 hPa, H: 37.55 %rH, G: 150629 Ohms
2020-01-06 14:06:45 T: 24.21 degC, P: 1022.02 hPa, H: 37.55 %rH, G: 149687 Ohms
2020-01-06 14:06:50 T: 24.22 degC, P: 1022.02 hPa, H: 37.52 %rH, G: 150494 Ohms
2020-01-06 14:06:55 T: 24.22 degC, P: 1022.02 hPa, H: 37.53 %rH, G: 149955 Ohms
2020-01-06 14:07:00 T: 24.22 degC, P: 1022.02 hPa, H: 37.55 %rH, G: 149687 Ohms
2020-01-06 14:07:05 T: 24.22 degC, P: 1022.04 hPa, H: 37.55 %rH, G: 149554 Ohms
2020-01-06 14:07:10 T: 24.22 degC, P: 1022.06 hPa, H: 37.55 %rH, G: 149554 Ohms
2020-01-06 14:07:15 T: 24.22 degC, P: 1022.04 hPa, H: 37.54 %rH, G: 149955 Ohms
2020-01-06 14:07:20 T: 24.23 degC, P: 1022.04 hPa, H: 37.53 %rH, G: 150090 Ohms
2020-01-06 14:07:25 T: 24.23 degC, P: 1022.04 hPa, H: 37.56 %rH, G: 149154 Ohms
2020-01-06 14:07:30 T: 24.23 degC, P: 1022.04 hPa, H: 37.58 %rH, G: 149821 Ohms
2020-01-06 14:07:35 T: 24.23 degC, P: 1022.02 hPa, H: 37.64 %rH, G: 148099 Ohms
2020-01-06 14:07:40 T: 24.24 degC, P: 1022.02 hPa, H: 37.70 %rH, G: 148757 Ohms
2020-01-06 14:07:45 T: 24.24 degC, P: 1022.04 hPa, H: 37.72 %rH, G: 148889 Ohms
2020-01-06 14:07:50 T: 24.25 degC, P: 1022.04 hPa, H: 37.68 %rH, G: 149021 Ohms
2020-01-06 14:07:55 T: 24.25 degC, P: 1022.04 hPa, H: 37.64 %rH, G: 148889 Ohms
2020-01-06 14:08:00 T: 24.25 degC, P: 1022.04 hPa, H: 37.58 %rH, G: 149687 Ohms
2020-01-06 14:08:05 T: 24.26 degC, P: 1022.02 hPa, H: 37.60 %rH, G: 148361 Ohms
2020-01-06 14:08:10 T: 24.26 degC, P: 1022.00 hPa, H: 37.59 %rH, G: 148889 Ohms
2020-01-06 14:08:15 T: 24.26 degC, P: 1022.02 hPa, H: 37.55 %rH, G: 149287 Ohms
2020-01-06 14:08:20 T: 24.27 degC, P: 1022.02 hPa, H: 37.56 %rH, G: 148889 Ohms
2020-01-06 14:08:25 T: 24.27 degC, P: 1022.02 hPa, H: 37.57 %rH, G: 148099 Ohms
2020-01-06 14:08:30 T: 24.27 degC, P: 1022.02 hPa, H: 37.57 %rH, G: 148493 Ohms
2020-01-06 14:08:35 T: 24.28 degC, P: 1022.02 hPa, H: 37.54 %rH, G: 148625 Ohms
2020-01-06 14:08:40 T: 24.28 degC, P: 1022.00 hPa, H: 37.57 %rH, G: 148361 Ohms
2020-01-06 14:08:45 T: 24.28 degC, P: 1022.02 hPa, H: 37.61 %rH, G: 147707 Ohms
2020-01-06 14:08:50 T: 24.28 degC, P: 1022.02 hPa, H: 37.58 %rH, G: 149154 Ohms
2020-01-06 14:08:55 T: 24.29 degC, P: 1022.02 hPa, H: 37.49 %rH, G: 149287 Ohms
2020-01-06 14:09:00 T: 24.29 degC, P: 1022.00 hPa, H: 37.50 %rH, G: 148230 Ohms
2020-01-06 14:09:05 T: 24.29 degC, P: 1021.98 hPa, H: 37.57 %rH, G: 148361 Ohms
2020-01-06 14:09:10 T: 24.29 degC, P: 1021.98 hPa, H: 37.53 %rH, G: 148493 Ohms
2020-01-06 14:09:15 T: 24.30 degC, P: 1021.98 hPa, H: 37.49 %rH, G: 149287 Ohms
