2020-01-16 09:37:47 T: 22.91 degC, P: 1023.88 hPa, H: 38.78 %rH, G: 131890 Ohms
2020-01-16 12:42:39 T: 26.30 degC, P: 1023.94 hPa, H: 46.45 %rH, G: 103715 Ohms
2020-01-16 12:42:34 T: 26.50 degC, P: 1024.41 hPa, H: 49.78 %rH, G: 98995 Ohms
2020-01-16 12:42:29 T: 26.68 degC, P: 1025.05 hPa, H: 52.78 %rH, G: 95357 Ohms
2020-01-16 12:42:24 T: 26.77 degC, P: 1025.91 hPa, H: 50.04 %rH, G: 93861 Ohms
2020-01-16 12:42:19 T: 26.63 degC, P: 1027.01 hPa, H: 49.40 %rH, G: 96209 Ohms
2020-01-16 12:42:14 T: 26.37 degC, P: 1027.32 hPa, H: 49.18 %rH, G: 98068 Ohms
2020-01-16 12:42:09 T: 26.05 degC, P: 1027.65 hPa, H: 48.92 %rH, G: 99643 Ohms
2020-01-16 12:42:04 T: 25.65 degC, P: 1027.77 hPa, H: 48.50 %rH, G: 102134 Ohms
2020-01-16 12:41:59 T: 25.17 degC, P: 1027.83 hPa, H: 48.10 %rH, G: 104167 Ohms
2020-01-16 12:41:54 T: 24.57 degC, P: 1027.38 hPa, H: 47.43 %rH, G: 105016 Ohms
2020-01-16 12:41:49 T: 23.84 degC, P: 1026.40 hPa, H: 46.08 %rH, G: 109121 Ohms
2020-01-16 12:41:44 T: 22.98 degC, P: 1024.60 hPa, H: 43.40 %rH, G: 114413 Ohms
2020-01-16 12:41:39 T: 22.16 degC, P: 1022.49 hPa, H: 41.70 %rH, G: 115358 Ohms
2020-01-16 12:41:34 T: 22.17 degC, P: 1022.47 hPa, H: 41.68 %rH, G: 106214 Ohms
2020-01-16 12:41:29 T: 22.17 degC, P: 1022.47 hPa, H: 41.67 %rH, G: 96375 Ohms
2020-01-16 12:41:24 T: 22.19 degC, P: 1022.46 hPa, H: 41.73 %rH, G: 87305 Ohms
2020-01-16 12:56:05 T: 23.43 degC, P: 1022.46 hPa, H: 38.64 %rH, G: 90808 Ohms
2020-01-16 12:55:50 T: 23.57 degC, P: 1022.46 hPa, H: 38.44 %rH, G: 92513 Ohms
2020-01-16 12:55:35 T: 23.71 degC, P: 1022.46 hPa, H: 38.15 %rH, G: 94177 Ohms
2020-01-16 12:55:20 T: 23.86 degC, P: 1022.46 hPa, H: 37.76 %rH, G: 95879 Ohms
2020-01-16 12:55:05 T: 24.02 degC, P: 1022.47 hPa, H: 37.38 %rH, G: 99821 Ohms
2020-01-16 12:54:50 T: 24.18 degC, P: 1022.46 hPa, H: 37.05 %rH, G: 106552 Ohms
2020-01-16 12:54:35 T: 24.33 degC, P: 1022.46 hPa, H: 36.61 %rH, G: 118458 Ohms
2020-01-16 12:54:20 T: 24.47 degC, P: 1022.46 hPa, H: 36.16 %rH, G: 138889 Ohms
2020-01-16 12:54:05 T: 24.57 degC, P: 1022.42 hPa, H: 36.03 %rH, G: 137974 Ohms
2020-01-16 12:54:00 T: 24.67 degC, P: 1022.44 hPa, H: 35.87 %rH, G: 138315 Ohms
2020-01-16 12:53:55 T: 24.76 degC, P: 1022.46 hPa, H: 35.71 %rH, G: 136068 Ohms
2020-01-16 12:53:50 T: 24.86 degC, P: 1022.46 hPa, H: 35.53 %rH, G: 136735 Ohms
2020-01-16 12:53:45 T: 24.96 degC, P: 1022.46 hPa, H: 35.40 %rH, G: 135628 Ohms
2020-01-16 12:53:40 T: 25.07 degC, P: 1022.46 hPa, H: 35.26 %rH, G: 135081 Ohms
2020-01-16 12:53:34 T: 25.18 degC, P: 1022.47 hPa, H: 35.03 %rH, G: 134000 Ohms
2020-01-16 12:53:29 T: 25.29 degC, P: 1022.49 hPa, H: 34.83 %rH, G: 134107 Ohms
2020-01-16 12:53:24 T: 25.42 degC, P: 1022.47 hPa, H: 34.65 %rH, G: 134322 Ohms
2020-01-16 12:53:19 T: 25.54 degC, P: 1022.46 hPa, H: 34.47 %rH, G: 132621 Ohms
2020-01-16 12:53:14 T: 25.66 degC, P: 1022.46 hPa, H: 34.30 %rH, G: 132306 Ohms
2020-01-16 12:53:09 T: 25.79 degC, P: 1022.44 hPa, H: 34.12 %rH, G: 131579 Ohms
2020-01-16 12:53:04 T: 25.93 degC, P: 1022.46 hPa, H: 33.91 %rH, G: 131064 Ohms
2020-01-16 12:52:59 T: 26.07 degC, P: 1022.44 hPa, H: 33.71 %rH, G: 130452 Ohms
2020-01-16 12:52:54 T: 26.22 degC, P: 1022.44 hPa, H: 33.51 %rH, G: 128451 Ohms
2020-01-16 12:52:49 T: 26.37 degC, P: 1022.46 hPa, H: 33.31 %rH, G: 127668 Ohms
2020-01-16 12:52:44 T: 26.52 degC, P: 1022.46 hPa, H: 33.06 %rH, G: 127765 Ohms
2020-01-16 12:52:39 T: 26.69 degC, P: 1022.46 hPa, H: 32.83 %rH, G: 126320 Ohms
2020-01-16 12:52:34 T: 26.86 degC, P: 1022.46 hPa, H: 32.62 %rH, G: 127765 Ohms
2020-01-16 12:52:29 T: 27.03 degC, P: 1022.44 hPa, H: 32.42 %rH, G: 124535 Ohms
2020-01-16 12:52:24 T: 27.20 degC, P: 1022.42 hPa, H: 32.25 %rH, G: 125187 Ohms
2020-01-16 12:52:19 T: 27.37 degC, P: 1022.42 hPa, H: 32.06 %rH, G: 124350 Ohms
2020-01-16 12:52:14 T: 27.52 degC, P: 1022.46 hPa, H: 31.92 %rH, G: 122711 Ohms
2020-01-16 12:52:09 T: 27.67 degC, P: 1022.44 hPa, H: 31.81 %rH, G: 121641 Ohms
2020-01-16 12:52:04 T: 27.80 degC, P: 1022.46 hPa, H: 31.75 %rH, G: 119986 Ohms
2020-01-16 12:51:59 T: 27.91 degC, P: 1022.44 hPa, H: 31.75 %rH, G: 119728 Ohms
2020-01-16 12:51:54 T: 27.99 degC, P: 1022.44 hPa, H: 31.72 %rH, G: 118626 Ohms
2020-01-16 12:51:49 T: 28.03 degC, P: 1022.44 hPa, H: 31.19 %rH, G: 118626 Ohms
2020-01-16 12:51:44 T: 27.99 degC, P: 1022.44 hPa, H: 31.29 %rH, G: 118207 Ohms
2020-01-16 12:51:39 T: 27.90 degC, P: 1022.44 hPa, H: 31.37 %rH, G: 119132 Ohms
2020-01-16 12:51:34 T: 27.83 degC, P: 1022.44 hPa, H: 31.45 %rH, G: 118542 Ohms
2020-01-16 12:51:29 T: 27.76 degC, P: 1022.44 hPa, H: 31.48 %rH, G: 119814 Ohms
2020-01-16 12:51:24 T: 27.72 degC, P: 1022.46 hPa, H: 31.46 %rH, G: 118879 Ohms
2020-01-16 12:51:19 T: 27.71 degC, P: 1022.46 hPa, H: 31.41 %rH, G: 117709 Ohms
2020-01-16 12:51:14 T: 27.75 degC, P: 1022.44 hPa, H: 31.38 %rH, G: 118207 Ohms
2020-01-16 12:51:09 T: 27.78 degC, P: 1022.42 hPa, H: 31.36 %rH, G: 116643 Ohms
2020-01-16 12:51:04 T: 27.80 degC, P: 1022.46 hPa, H: 31.35 %rH, G: 115597 Ohms
2020-01-16 12:50:59 T: 27.81 degC, P: 1022.42 hPa, H: 31.34 %rH, G: 113946 Ohms
2020-01-16 12:50:54 T: 27.81 degC, P: 1022.46 hPa, H: 31.34 %rH, G: 112947 Ohms
2020-01-16 12:50:49 T: 27.81 degC, P: 1022.42 hPa, H: 31.39 %rH, G: 111741 Ohms
2020-01-16 12:50:44 T: 27.78 degC, P: 1022.42 hPa, H: 31.41 %rH, G: 109908 Ohms
2020-01-16 12:50:39 T: 27.77 degC, P: 1022.42 hPa, H: 31.40 %rH, G: 107995 Ohms
2020-01-16 12:50:34 T: 27.77 degC, P: 1022.42 hPa, H: 31.38 %rH, G: 105545 Ohms
2020-01-16 12:50:29 T: 27.79 degC, P: 1022.38 hPa, H: 31.34 %rH, G: 102950 Ohms
2020-01-16 12:50:24 T: 27.83 degC, P: 1022.40 hPa, H: 31.35 %rH, G: 98878 Ohms
2020-01-16 12:50:19 T: 27.87 degC, P: 1022.38 hPa, H: 31.27 %rH, G: 95009 Ohms
2020-01-16 12:50:14 T: 27.91 degC, P: 1022.40 hPa, H: 31.22 %rH, G: 91005 Ohms
2020-01-16 12:50:09 T: 27.96 degC, P: 1022.40 hPa, H: 31.17 %rH, G: 84487 Ohms
2020-01-16 12:50:04 T: 28.01 degC, P: 1022.38 hPa, H: 31.13 %rH, G: 76886 Ohms
2020-01-16 12:49:59 T: 28.04 degC, P: 1022.36 hPa, H: 31.14 %rH, G: 68463 Ohms
2020-01-16 12:49:54 T: 28.06 degC, P: 1022.36 hPa, H: 31.14 %rH, G: 60024 Ohms
2020-01-16 13:39:14 T: 26.96 degC, P: 1021.69 hPa, H: 33.02 %rH, G: 85348 Ohms
2020-01-16 13:38:59 T: 27.04 degC, P: 1021.67 hPa, H: 32.88 %rH, G: 85785 Ohms
2020-01-16 13:38:44 T: 27.15 degC, P: 1021.65 hPa, H: 32.79 %rH, G: 88504 Ohms
2020-01-16 13:38:29 T: 27.23 degC, P: 1021.65 hPa, H: 32.59 %rH, G: 91602 Ohms
2020-01-16 13:38:14 T: 27.32 degC, P: 1021.65 hPa, H: 32.31 %rH, G: 95140 Ohms
2020-01-16 13:37:59 T: 27.42 degC, P: 1021.63 hPa, H: 32.17 %rH, G: 100420 Ohms
2020-01-16 13:37:44 T: 27.45 degC, P: 1021.63 hPa, H: 32.22 %rH, G: 112265 Ohms
2020-01-16 13:37:29 T: 27.44 degC, P: 1021.65 hPa, H: 32.06 %rH, G: 133786 Ohms
2020-01-16 13:37:14 T: 27.49 degC, P: 1021.63 hPa, H: 32.01 %rH, G: 132937 Ohms
2020-01-16 13:37:09 T: 27.54 degC, P: 1021.65 hPa, H: 31.95 %rH, G: 132202 Ohms
2020-01-16 13:37:04 T: 27.61 degC, P: 1021.63 hPa, H: 31.87 %rH, G: 133042 Ohms
2020-01-16 13:36:59 T: 27.68 degC, P: 1021.65 hPa, H: 31.80 %rH, G: 132726 Ohms
2020-01-16 13:36:54 T: 27.76 degC, P: 1021.63 hPa, H: 31.73 %rH, G: 131682 Ohms
2020-01-16 13:36:49 T: 27.84 degC, P: 1021.63 hPa, H: 31.69 %rH, G: 131476 Ohms
2020-01-16 13:36:44 T: 27.91 degC, P: 1021.63 hPa, H: 31.68 %rH, G: 130962 Ohms
2020-01-16 13:36:39 T: 27.97 degC, P: 1021.63 hPa, H: 31.71 %rH, G: 130757 Ohms
2020-01-16 13:36:34 T: 28.02 degC, P: 1021.61 hPa, H: 31.68 %rH, G: 129845 Ohms
2020-01-16 13:36:29 T: 28.06 degC, P: 1021.59 hPa, H: 31.51 %rH, G: 129544 Ohms
2020-01-16 13:36:24 T: 28.11 degC, P: 1021.63 hPa, H: 31.36 %rH, G: 129744 Ohms
2020-01-16 13:36:19 T: 28.13 degC, P: 1021.61 hPa, H: 31.35 %rH, G: 130350 Ohms
2020-01-16 13:36:14 T: 28.11 degC, P: 1021.63 hPa, H: 31.35 %rH, G: 129544 Ohms
2020-01-16 13:36:09 T: 28.09 degC, P: 1021.61 hPa, H: 31.42 %rH, G: 129845 Ohms
2020-01-16 13:36:04 T: 28.06 degC, P: 1021.59 hPa, H: 31.50 %rH, G: 130249 Ohms
2020-01-16 13:35:59 T: 27.99 degC, P: 1021.63 hPa, H: 31.55 %rH, G: 130148 Ohms
2020-01-16 13:35:54 T: 27.97 degC, P: 1021.61 hPa, H: 31.59 %rH, G: 131373 Ohms
2020-01-16 13:35:49 T: 27.94 degC, P: 1021.63 hPa, H: 31.64 %rH, G: 130757 Ohms
2020-01-16 13:35:44 T: 27.91 degC, P: 1021.59 hPa, H: 31.67 %rH, G: 131786 Ohms
2020-01-16 13:35:39 T: 27.88 degC, P: 1021.61 hPa, H: 31.69 %rH, G: 131682 Ohms
2020-01-16 13:35:34 T: 27.87 degC, P: 1021.63 hPa, H: 31.76 %rH, G: 131476 Ohms
2020-01-16 13:35:29 T: 27.82 degC, P: 1021.63 hPa, H: 31.84 %rH, G: 131476 Ohms
2020-01-16 13:35:24 T: 27.77 degC, P: 1021.61 hPa, H: 31.92 %rH, G: 132202 Ohms
2020-01-16 13:35:19 T: 27.72 degC, P: 1021.65 hPa, H: 31.91 %rH, G: 131579 Ohms
2020-01-16 13:35:14 T: 27.71 degC, P: 1021.65 hPa, H: 31.91 %rH, G: 131270 Ohms
2020-01-16 13:35:09 T: 27.70 degC, P: 1021.65 hPa, H: 31.95 %rH, G: 131682 Ohms
2020-01-16 13:35:04 T: 27.66 degC, P: 1021.67 hPa, H: 31.99 %rH, G: 132098 Ohms
2020-01-16 13:34:59 T: 27.61 degC, P: 1021.63 hPa, H: 32.10 %rH, G: 132831 Ohms
2020-01-16 13:34:54 T: 27.53 degC, P: 1021.67 hPa, H: 32.19 %rH, G: 133148 Ohms
2020-01-16 13:34:49 T: 27.45 degC, P: 1021.65 hPa, H: 32.28 %rH, G: 133360 Ohms
2020-01-16 13:34:44 T: 27.40 degC, P: 1021.67 hPa, H: 32.32 %rH, G: 133254 Ohms
2020-01-16 13:34:39 T: 27.36 degC, P: 1021.65 hPa, H: 32.44 %rH, G: 133042 Ohms
2020-01-16 13:34:34 T: 27.28 degC, P: 1021.65 hPa, H: 32.53 %rH, G: 134646 Ohms
2020-01-16 13:34:28 T: 27.21 degC, P: 1021.67 hPa, H: 32.59 %rH, G: 134972 Ohms
2020-01-16 13:34:23 T: 27.16 degC, P: 1021.65 hPa, H: 32.60 %rH, G: 134863 Ohms
2020-01-16 13:34:18 T: 27.15 degC, P: 1021.65 hPa, H: 32.65 %rH, G: 134863 Ohms
2020-01-16 13:34:13 T: 27.12 degC, P: 1021.69 hPa, H: 32.68 %rH, G: 134646 Ohms
2020-01-16 13:34:08 T: 27.09 degC, P: 1021.71 hPa, H: 32.70 %rH, G: 135299 Ohms
2020-01-16 13:34:03 T: 27.07 degC, P: 1021.69 hPa, H: 32.67 %rH, G: 135518 Ohms
2020-01-16 13:33:58 T: 27.08 degC, P: 1021.67 hPa, H: 32.62 %rH, G: 135958 Ohms
2020-01-16 13:33:53 T: 27.13 degC, P: 1021.71 hPa, H: 32.57 %rH, G: 134538 Ohms
2020-01-16 13:33:48 T: 27.18 degC, P: 1021.69 hPa, H: 32.53 %rH, G: 134972 Ohms
2020-01-16 13:33:43 T: 27.23 degC, P: 1021.71 hPa, H: 32.49 %rH, G: 134107 Ohms
2020-01-16 13:33:38 T: 27.27 degC, P: 1021.71 hPa, H: 32.48 %rH, G: 134322 Ohms
2020-01-16 13:33:33 T: 27.31 degC, P: 1021.69 hPa, H: 32.49 %rH, G: 133893 Ohms
2020-01-16 13:33:28 T: 27.34 degC, P: 1021.67 hPa, H: 32.53 %rH, G: 132831 Ohms
2020-01-16 13:33:23 T: 27.34 degC, P: 1021.67 hPa, H: 32.49 %rH, G: 133360 Ohms
2020-01-16 13:33:18 T: 27.31 degC, P: 1021.71 hPa, H: 32.21 %rH, G: 132937 Ohms
2020-01-16 13:33:13 T: 27.27 degC, P: 1021.73 hPa, H: 32.20 %rH, G: 133466 Ohms
2020-01-16 13:33:08 T: 27.25 degC, P: 1021.73 hPa, H: 32.45 %rH, G: 134000 Ohms
2020-01-16 13:33:03 T: 27.20 degC, P: 1021.71 hPa, H: 32.56 %rH, G: 134000 Ohms
2020-01-16 13:32:58 T: 27.19 degC, P: 1021.73 hPa, H: 32.60 %rH, G: 133360 Ohms
2020-01-16 13:32:53 T: 27.17 degC, P: 1021.75 hPa, H: 32.56 %rH, G: 134430 Ohms
2020-01-16 13:32:48 T: 27.19 degC, P: 1021.73 hPa, H: 32.52 %rH, G: 134000 Ohms
2020-01-16 13:32:43 T: 27.22 degC, P: 1021.71 hPa, H: 32.49 %rH, G: 134646 Ohms
2020-01-16 13:32:38 T: 27.23 degC, P: 1021.73 hPa, H: 32.49 %rH, G: 133679 Ohms
2020-01-16 13:32:33 T: 27.23 degC, P: 1021.71 hPa, H: 32.51 %rH, G: 134107 Ohms
2020-01-16 13:32:28 T: 27.23 degC, P: 1021.73 hPa, H: 32.44 %rH, G: 133893 Ohms
2020-01-16 13:32:23 T: 27.27 degC, P: 1021.75 hPa, H: 32.39 %rH, G: 132937 Ohms
2020-01-16 13:32:18 T: 27.29 degC, P: 1021.73 hPa, H: 32.38 %rH, G: 132726 Ohms
2020-01-16 13:32:13 T: 27.29 degC, P: 1021.75 hPa, H: 32.36 %rH, G: 132516 Ohms
2020-01-16 13:32:08 T: 27.29 degC, P: 1021.73 hPa, H: 32.34 %rH, G: 133573 Ohms
2020-01-16 13:32:03 T: 27.30 degC, P: 1021.73 hPa, H: 32.35 %rH, G: 132831 Ohms
2020-01-16 13:31:58 T: 27.28 degC, P: 1021.77 hPa, H: 32.39 %rH, G: 133042 Ohms
2020-01-16 13:31:53 T: 27.26 degC, P: 1021.77 hPa, H: 32.39 %rH, G: 133254 Ohms
2020-01-16 13:31:48 T: 27.26 degC, P: 1021.77 hPa, H: 32.39 %rH, G: 132937 Ohms
2020-01-16 13:31:43 T: 27.26 degC, P: 1021.79 hPa, H: 32.42 %rH, G: 133360 Ohms
2020-01-16 13:31:38 T: 27.26 degC, P: 1021.79 hPa, H: 32.41 %rH, G: 133786 Ohms
2020-01-16 13:31:33 T: 27.26 degC, P: 1021.77 hPa, H: 32.39 %rH, G: 132726 Ohms
2020-01-16 13:31:28 T: 27.28 degC, P: 1021.77 hPa, H: 32.37 %rH, G: 132202 Ohms
2020-01-16 13:31:23 T: 27.30 degC, P: 1021.75 hPa, H: 32.37 %rH, G: 132937 Ohms
2020-01-16 13:31:18 T: 27.31 degC, P: 1021.77 hPa, H: 32.37 %rH, G: 132411 Ohms
2020-01-16 13:31:13 T: 27.34 degC, P: 1021.77 hPa, H: 32.31 %rH, G: 132726 Ohms
2020-01-16 13:31:08 T: 27.38 degC, P: 1021.77 hPa, H: 32.19 %rH, G: 132306 Ohms
2020-01-16 13:31:02 T: 27.42 degC, P: 1021.77 hPa, H: 32.10 %rH, G: 132098 Ohms
2020-01-16 13:30:57 T: 27.45 degC, P: 1021.79 hPa, H: 32.07 %rH, G: 131682 Ohms
2020-01-16 13:30:52 T: 27.47 degC, P: 1021.77 hPa, H: 32.03 %rH, G: 132411 Ohms
2020-01-16 13:30:47 T: 27.51 degC, P: 1021.77 hPa, H: 31.97 %rH, G: 131890 Ohms
2020-01-16 13:30:42 T: 27.55 degC, P: 1021.79 hPa, H: 31.90 %rH, G: 131373 Ohms
2020-01-16 13:30:37 T: 27.59 degC, P: 1021.79 hPa, H: 31.83 %rH, G: 131579 Ohms
2020-01-16 13:30:32 T: 27.63 degC, P: 1021.79 hPa, H: 31.80 %rH, G: 131579 Ohms
2020-01-16 13:30:27 T: 27.66 degC, P: 1021.81 hPa, H: 31.77 %rH, G: 131064 Ohms
2020-01-16 13:30:22 T: 27.71 degC, P: 1021.81 hPa, H: 31.73 %rH, G: 130757 Ohms
2020-01-16 13:30:17 T: 27.74 degC, P: 1021.81 hPa, H: 31.68 %rH, G: 130249 Ohms
2020-01-16 13:30:12 T: 27.77 degC, P: 1021.79 hPa, H: 31.62 %rH, G: 130047 Ohms
2020-01-16 13:30:07 T: 27.83 degC, P: 1021.79 hPa, H: 31.54 %rH, G: 130148 Ohms
2020-01-16 13:30:02 T: 27.89 degC, P: 1021.81 hPa, H: 31.46 %rH, G: 129644 Ohms
2020-01-16 13:29:57 T: 27.95 degC, P: 1021.81 hPa, H: 31.38 %rH, G: 129644 Ohms
